dataset,seed,task,status,seconds,cvxpy,clarabel,iterations,eta,v_tilde_mean_by_class,u_mean_by_class,objective,normalized_max_constraint_violation,xi,active_constraints,primal_residual,dual_residual
HK,1995,7,optimal,1.2564765409915708,1.7.3,0.11.1,11,0.1,"[2.514211994865922e-05, 2.164609262114033e-05, 3.3033039811689664e-05, 2.755257310022441e-05, 3.683778985509323e-05, 5.544958596915059e-05, 3.728883496981775e-05, 3.207719569546445e-05, 6.22457093896394e-05, 8.272473267916457e-05, 8.006393394625481e-05, 9.680555334127558e-05, 0.00013503049290482675, 0.00012104994003947021]","[0.00015217346379300205, 0.00015216656792842645, 0.000151206323167094, 0.00015034409878017315, 0.00014211143359038622, 0.0001605191416391426, 0.00013646236208801282, 0.00013631867167016273, 9.009795695790576e-05, 9.097601218140013e-05, 7.659610865636587e-05, 6.746105676711797e-05, 1.0632322275970601e-06, 2.0174990006578327e-05]",0.00046287840027384804,0.0,"[3.954412933699125e-09, 6.303096124438798e-09, 0.011099642187657495, 0.023743433838873562, 3.052571399591063e-09, 3.2273311046420034e-09, 3.014055377915064e-09, 3.2087135114205895e-09, 3.035630490077029e-09, 4.735128746791128e-09, 3.192237993182511e-09, 4.338720306887306e-09, 3.308266091268904e-09, 2.364333629645581e-09]",2,6.669034376648586e-11,2.2957142716541885e-10
HK,1995,8,optimal,2.151581812009681,1.7.3,0.11.1,15,0.1,"[1.2891882783493628e-05, 1.103859829005582e-05, 1.833466454317399e-05, 1.3861765490068699e-05, 1.869382121443605e-05, 3.336397547555377e-05, 1.8867868654908516e-05, 1.5987477105101e-05, 2.9622681385567563e-05, 4.0356350166140005e-05, 4.348533665212317e-05, 4.7436470761611e-05, 6.344592757642245e-05, 5.5864616943453436e-05, 0.00011716749802105792, 8.53117945266804e-05]","[0.000134897778076381, 0.00013489415051854239, 0.00013458303441000842, 0.00013409878657641625, 0.00012981801755460826, 0.00014090103570244116, 0.0001273895401613624, 0.00012731623007100133, 0.0001063191344502258, 0.00010674862042056025, 0.00010213465019144747, 9.694954933326522e-05, 7.236444660493363e-05, 8.117564186262401e-05, 4.0683159035089573e-07, 3.4124717810672184e-06]",0.001810033154465733,0.0,"[6.908704678179567e-10, 2.9875797750298373e-09, 0.09693103481543013, 0.0919493813445868, 1.0325795091208e-09, 6.063551714292385e-10, 0.0023218123167760905, 1.1003873259938545e-09, 9.454564515929131e-10, 1.421604335201131e-09, 9.62823392451566e-10, 0.010682957477532895, 0.07067322375880151, 6.907546029923001e-10, 5.784302336450251e-10, 6.268025744433565e-10]",7,1.1085157674562574e-11,4.991662806591524e-11
HK,1995,9,optimal,3.425452174968086,1.7.3,0.11.1,15,0.1,"[3.855427295482769e-06, 3.3405462321873603e-06, 6.8701285076668824e-06, 4.312662502112252e-06, 5.606977038231398e-06, 1.484015316111375e-05, 5.894883962139093e-06, 4.830410408127718e-06, 8.76448252452843e-06, 1.2504372842444736e-05, 1.681734575608693e-05, 1.5873671679274847e-05, 1.900494539549637e-05, 2.0249197480603883e-05, 3.4285580780351235e-05, 2.6674704391138055e-05, 8.07623525399912e-05, 6.050926379538965e-05]","[0.00010270842264995115, 0.000102707397253248, 0.00010266284318701981, 0.00010247789432394064, 0.00010121625302616153, 0.00010615148103948687, 0.00010051311602836383, 0.00010048980345204855, 9.436763714425531e-05, 9.450134606356398e-05, 9.386527534606707e-05, 9.17525440249487e-05, 8.46324081410789e-05, 8.785762914851178e-05, 6.382367469214376e-05, 6.47716157123019e-05, 1.2540737972048326e-07, 2.3183625975245142e-07]",0.005348954757916166,0.0,"[0.08409887230708903, 0.08220525989044702, 0.11628206030772548, 0.1250553655974663, 0.042472741159360616, 0.05797586465474138, 0.07398191667476807, 0.07439135554663942, 0.028634422380684952, 0.08512179909587696, 9.14464454964327e-09, 0.0743218250390729, 0.10812904276855302, 3.1363086295899353e-09, 4.261556440795612e-09, 2.4299718876691183e-09, 1.960558102550803e-09, 2.384863237512599e-09]",17,1.445427220280691e-10,1.0365349385034417e-09
HK,1995,10,optimal,3.901454247010406,1.7.3,0.11.1,17,0.1,"[1.042292040962001e-06, 9.087591493428111e-07, 2.1133288528543227e-06, 1.2069542246263447e-06, 1.5097188198292487e-06, 4.916085662281771e-06, 1.658109130325072e-06, 1.3272007473867885e-06, 2.4389645938169498e-06, 3.54855549348051e-06, 5.357138933064413e-06, 4.800602030369629e-06, 5.305840908272731e-06, 6.8227171265769705e-06, 9.17286924930479e-06, 7.509164920917576e-06, 2.139040550135744e-05, 1.6204700832452855e-05, 1.4204893180565079e-05, 1.3757375992966094e-05]","[6.142757897975453e-05, 6.142731032292521e-05, 6.141566571155028e-05, 6.135829848147526e-05, 6.103504022091121e-05, 6.26706417555655e-05, 6.081820161541319e-05, 6.081156612032841e-05, 5.906780559329707e-05, 5.910582400132486e-05, 5.8917270426648954e-05, 5.8233135765212227e-05, 5.57656779830062e-05, 5.6861019229234026e-05, 4.96633233468819e-05, 4.993183970326952e-05, 3.214250924133042e-05, 3.2171381302325144e-05, 1.9300126604028596e-08, 7.64298666275894e-07]",0.007248086712034524,0.0,"[0.10171835993119828, 0.10115172998129943, 0.10856740370769549, 0.11110483245207535, 0.08930854889216105, 0.09044828335557986, 0.0956566811701027, 0.10145245693649084, 0.0781818835513334, 0.10296572997358998, 0.07612662599286067, 0.10363709469873139, 0.1035637219555144, 0.040147105155931846, 0.08370781532355549, 0.034952356781494116, 4.525534273288552e-09, 4.164238023988221e-09, 3.820885182835678e-09, 3.379078507872998e-09]",21,5.618155108502552e-10,8.60056522075193e-09
HK,1995,11,optimal,6.6564922939869575,1.7.3,0.11.1,17,0.1,"[7.39214962687774e-07, 6.709476698699512e-07, 3.7702940086450546e-06, 1.1124866571410555e-06, 1.0318559492288503e-06, 1.1532392940145546e-05, 1.5714670644044983e-06, 1.015044950339238e-06, 1.6089451251730207e-06, 3.2522465974255764e-06, 1.0189128118869335e-05, 6.34904434656055e-06, 4.0132530969133254e-06, 1.190667953878614e-05, 5.344222287422682e-06, 7.455648170083602e-06, 1.1436488529939453e-05, 9.340412103574898e-06, 1.1370451753194812e-05, 1.3563045922308198e-05, 0.0001185280829703201, 0.00010010834238172266, 4.005495874597272e-05]","[0.00015708978197216268, 0.00015708963137022855, 0.0001571471923963451, 0.00015704071602568265, 0.00015688519004478034, 0.00016072720656591657, 0.0001567269806032371, 0.00015672008934277691, 0.00015560889653203191, 0.00015564469809596548, 0.0001565656567874736, 0.0001551435141740341, 0.00015279762723704806, 0.00015475047340875975, 0.000148390946853772, 0.00014867061645318843, 0.00013792086579634692, 0.00013793889429333854, 0.00011774091742966697, 0.00011847897099754619, 1.8934198557559123e-07, 1.682493149272654e-07, 4.825898644093096e-07]",0.007737610719249892,0.0,"[0.1068207948928748, 0.10917812451361443, 0.10710911065151109, 0.10796705014287145, 0.10202585596358316, 0.10542862910953699, 0.10154541624177846, 0.10841196617673844, 0.09843708802579804, 0.1145059412820911, 0.1028483417820012, 0.11890507131244435, 0.11677753137390245, 0.08739385453291565, 0.10959654569930417, 0.09623179519709617, 9.25044387768943e-09, 0.04048181550041122, 2.484705806639913e-09, 2.4849957209732487e-09, 2.3302347326165844e-09, 2.301869467323097e-09, 2.3195163251715464e-09]",30,3.9856855020080435e-10,5.775103307320675e-09
ISIC,1993,1,optimal,0.01619934500195086,1.7.3,0.11.1,7,0.1,"[0.0002570942619229526, 0.0002537833338982476]","[5.613411832378892e-07, 2.4103270386384985e-08]",9.565256357589785e-12,0.0,"[9.812563130667132e-11, 9.317949584413039e-11]",0,1.7692296158366108e-12,2.0906163528790887e-10
ISIC,1993,2,optimal,0.04399851703783497,1.7.3,0.11.1,8,0.1,"[0.000236586630549375, 0.00023207117608061779, 0.00029065973645341764, 0.0002563505352195663]","[3.445005335150283e-05, 3.395552979721691e-05, 2.2255722546203537e-07, 9.49446426739135e-06]",1.0552941519614863e-10,0.0,"[1.2432718150245798e-09, 1.2579004274509828e-09, 1.0682161981922492e-09, 6.517881664437333e-10]",0,1.3229545140699383e-11,2.625810815342348e-10
ISIC,1993,3,optimal,0.09990355197805911,1.7.3,0.11.1,10,0.1,"[0.0002376941997540896, 0.00023153609093795472, 0.0002904394638247162, 0.0002583726383966653, 0.00028348318627397683, 0.00026149423658189516]","[5.86646043314889e-05, 5.816761168370076e-05, 2.4853716281495716e-05, 3.420068469573132e-05, 1.107356196382722e-06, 5.943050831406697e-06]",1.7459925340675633e-06,0.0,"[3.334291808937369e-10, 3.3493994738631344e-10, 3.2042318599823354e-10, 3.94604504982922e-10, 3.2608985233922077e-10, 3.115646631953633e-10]",1,2.6529714344782395e-12,1.8705546117514267e-11
ISIC,1993,4,optimal,0.20278238400351256,1.7.3,0.11.1,11,0.1,"[0.00016380639630128875, 0.0001611444502391254, 0.00020112780110176877, 0.0001917267187793936, 0.000198540084820729, 0.00019038188741455522, 0.0003447713824182221, 0.00037672047882357593]","[0.0002030345465332077, 0.00020269219546613005, 0.00017893543897309084, 0.00018588242564702124, 0.0001621559890728855, 0.0001657073029441576, 1.2161248057080117e-07, 1.1545218474519647e-07]",0.0013871863260380768,0.0,"[5.216812884962336e-09, 2.2240296006765602e-09, 0.07225947193249221, 2.3259900203735517e-09, 0.022008354079427958, 2.813451998717515e-09, 2.2447920052098096e-09, 2.1418259885635868e-09]",3,2.418950130031982e-12,4.681753475817994e-11
ISIC,1994,1,optimal,0.013296923018060625,1.7.3,0.11.1,6,0.1,"[0.0002916369719422483, 0.00026514939947177907]","[2.2330549153311497e-07, 9.820348128584434e-06]",1.7588936919802594e-09,0.0,"[1.64258212100221e-08, 1.875205262373744e-08]",0,2.2819994114971918e-10,7.50919389134876e-09
ISIC,1994,2,optimal,0.04165962600382045,1.7.3,0.11.1,8,0.1,"[0.0002317032122930731, 0.00021448695098525022, 0.00024976115447360224, 0.0002562042604205436]","[4.279277181183524e-05, 5.0559318554924716e-05, 5.453300316017519e-07, 1.0007978922677484e-06]",6.137384268787143e-10,0.0,"[5.862798933921113e-09, 5.014095156810498e-09, 6.1142250852731865e-09, 7.55841771775594e-09]",0,6.027415055439638e-11,9.175173091933523e-10
ISIC,1994,3,optimal,0.10233666800195351,1.7.3,0.11.1,11,0.1,"[0.0001289581329943909, 0.00012968848346719112, 0.00013682110958160925, 0.00014112688277182598, 0.00027242929004975784, 0.00023573017694836391]","[0.00013716816184997416, 0.00014187269618771175, 0.0001159903635089887, 0.00011624290434769485, 8.34904351975968e-08, 2.2388657702380478e-08]",0.002017948382008962,0.0,"[0.08642701654041027, 6.310060957578555e-09, 2.887817448939725e-09, 0.02364516621326738, 5.678211774572944e-09, 6.928289114965588e-09]",4,5.023719982931837e-12,1.8352316396724948e-10
ISIC,1994,4,optimal,0.20170409796992317,1.7.3,0.11.1,11,0.1,"[7.259371947848161e-05, 8.24915632251025e-05, 7.750332516510588e-05, 8.017347067691367e-05, 0.00015239934434048248, 0.00013159377612484264, 0.0002120187180212965, 0.00023856150767532187]","[0.00019737158707788308, 0.000200371245382746, 0.00018565587067913565, 0.00018579982706498253, 0.00012137771862754414, 0.00012134351156441798, 4.818607227756732e-06, 8.414867995602169e-08]",0.002979735942729108,0.0,"[0.1193014522811642, 7.64560101378167e-09, 0.026093042823446887, 0.08262313604342768, 6.755930035301883e-09, 1.0052226364275352e-08, 3.209235119703711e-09, 4.461092865645397e-09]",3,1.4225995195372316e-11,2.3273799603868855e-10
ISIC,1995,1,optimal,0.013296374992933124,1.7.3,0.11.1,7,0.1,"[0.00025722163236929925, 0.00025256055918389345]","[7.882979845825911e-08, 1.9338480795091367e-07]",1.251034591392918e-10,0.0,"[1.2562140285698834e-09, 1.2458551523054692e-09]",0,2.5074857726833477e-11,1.5758576876581994e-09
ISIC,1995,2,optimal,0.04331791598815471,1.7.3,0.11.1,8,0.1,"[0.0002560924858072228, 0.00025104831644781486, 0.0002552940253517868, 0.00023712507231683568]","[4.675696522647986e-05, 4.687070836210207e-05, 2.424674948730047e-08, 5.3892061890189925e-06]",6.125257487562923e-10,0.0,"[7.954859171226444e-09, 9.23431848112467e-09, 4.066107857216372e-09, 3.245744402625118e-09]",0,8.58266407536925e-11,5.62964649987438e-09
ISIC,1995,3,optimal,0.0988853820017539,1.7.3,0.11.1,10,0.1,"[0.00023979979427660275, 0.00023419093666059133, 0.00023579038824305548, 0.0002238226623039535, 0.0002820242983551025, 0.00028052449171696764]","[8.124153463674692e-05, 8.134736329408091e-05, 3.996642266849265e-05, 4.5030906980901815e-05, 6.157735771945465e-07, 1.0957987957694048e-06]",6.2798223144453604e-06,0.0,"[3.440784424740762e-09, 2.7404091826779692e-09, 3.289001863180793e-09, 3.761144757157669e-09, 3.1203599700311506e-09, 3.257715559153547e-09]",1,1.1244520751924331e-11,1.2643870583755762e-10
ISIC,1995,4,optimal,0.19643717602593824,1.7.3,0.11.1,11,0.1,"[0.00016183708388718744, 0.00015482161922015955, 0.00014942337160491953, 0.000149997457203848, 0.00017445539000266475, 0.00017314856992226374, 0.0002909420537580335, 0.00024460716053928454]","[0.0001602052417727243, 0.0001602741905533956, 0.00014063081281856968, 0.00014402565433539497, 0.0001233340073125004, 0.00012362946194868774, 1.0262506305397998e-07, 9.059524464417947e-06]",0.001120601140300665,0.0,"[3.1720840857690773e-09, 0.06341818606130589, 7.26318640630578e-10, 1.1666329401343221e-09, 0.0037415985593616283, 0.004942676460039422, 1.5838354060756116e-09, 1.1017383364845449e-09]",6,5.038707896431014e-12,7.864273686848241e-11
