dataset,seed,task,method,seen,known,scope,n_images,correct_macro,correct_sample,to_other_macro,to_other_sample,wrong_within_macro,wrong_within_sample
HK,1993,1,CT-J-CB,2,0,old,0,,,,,,
HK,1993,1,CT-J-CB,2,0,current,172,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,CT-J-Stale,2,0,old,0,,,,,,
HK,1993,1,CT-J-Stale,2,0,current,172,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,PT-CB,2,0,old,0,,,,,,
HK,1993,1,PT-CB,2,0,current,172,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,CT-Risk,2,0,old,0,,,,,,
HK,1993,1,CT-Risk,2,0,current,172,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,CT-J-CB,4,2,old,172,92.85714285714286,99.4186046511628,7.142857142857142,0.5813953488372093,0.0,0.0
HK,1993,2,CT-J-CB,4,2,current,194,93.90243902439023,97.42268041237114,6.097560975609756,2.5773195876288657,0.0,0.0
HK,1993,2,CT-J-Stale,4,2,old,172,64.28571428571428,97.09302325581395,35.714285714285715,2.9069767441860463,0.0,0.0
HK,1993,2,CT-J-Stale,4,2,current,194,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,PT-CB,4,2,old,172,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,PT-CB,4,2,current,194,93.90243902439023,97.42268041237114,6.097560975609756,2.5773195876288657,0.0,0.0
HK,1993,2,CT-Risk,4,2,old,172,92.85714285714286,99.4186046511628,7.142857142857142,0.5813953488372093,0.0,0.0
HK,1993,2,CT-Risk,4,2,current,194,93.90243902439023,97.42268041237114,6.097560975609756,2.5773195876288657,0.0,0.0
HK,1993,3,CT-J-CB,6,4,old,366,79.00696864111498,95.90163934426229,20.38327526132404,3.825136612021858,0.6097560975609756,0.273224043715847
HK,1993,3,CT-J-CB,6,4,current,243,91.80327868852459,95.88477366255144,8.19672131147541,4.11522633744856,0.0,0.0
HK,1993,3,CT-J-Stale,6,4,old,366,52.58235149196412,87.43169398907104,47.41764850803588,12.568306010928962,0.0,0.0
HK,1993,3,CT-J-Stale,6,4,current,243,99.18032786885246,99.58847736625515,0.819672131147541,0.411522633744856,0.0,0.0
HK,1993,3,PT-CB,6,4,old,366,86.7595818815331,96.72131147540983,12.630662020905921,3.0054644808743167,0.6097560975609756,0.273224043715847
HK,1993,3,PT-CB,6,4,current,243,82.78688524590163,91.35802469135803,17.21311475409836,8.641975308641975,0.0,0.0
HK,1993,3,CT-Risk,6,4,old,366,79.00696864111498,95.90163934426229,20.38327526132404,3.825136612021858,0.6097560975609756,0.273224043715847
HK,1993,3,CT-Risk,6,4,current,243,91.80327868852459,95.88477366255144,8.19672131147541,4.11522633744856,0.0,0.0
HK,1993,4,CT-J-CB,8,6,old,609,69.8251684245522,79.47454844006569,9.853436324024557,15.92775041050903,20.321395251423237,4.597701149425287
HK,1993,4,CT-J-CB,8,6,current,162,98.08917197452229,96.29629629629629,0.9554140127388535,1.8518518518518516,0.9554140127388535,1.8518518518518516
HK,1993,4,CT-J-Stale,8,6,old,609,44.172572207005494,55.33661740558292,23.713606654783128,37.274220032840724,32.11382113821138,7.389162561576355
HK,1993,4,CT-J-Stale,8,6,current,162,96.17834394904459,92.5925925925926,2.8662420382165608,5.555555555555555,0.9554140127388535,1.8518518518518516
HK,1993,4,PT-CB,8,6,old,609,83.00318488454998,90.64039408866995,2.432164785105962,3.9408866995073892,14.564650330344053,5.41871921182266
HK,1993,4,PT-CB,8,6,current,162,92.35668789808918,85.18518518518519,6.687898089171974,12.962962962962962,0.9554140127388535,1.8518518518518516
HK,1993,4,CT-Risk,8,6,old,609,69.8251684245522,79.47454844006569,9.853436324024557,15.92775041050903,20.321395251423237,4.597701149425287
HK,1993,4,CT-Risk,8,6,current,162,98.08917197452229,96.29629629629629,0.9554140127388535,1.8518518518518516,0.9554140127388535,1.8518518518518516
