legacy_id,legacy_class_name,official_id,official_class_name,n_official_images,name_equal,numeric_id_equal
0,barretts,0,barretts,41,True,True
1,barretts-short-segment,16,short-segment-barretts,53,False,False
2,bbps-0-1,1,bbps-0-1,646,True,False
3,bbps-2-3,2,bbps-2-3,1148,True,False
4,cecum,8,normal-cecum,1009,False,False
5,dyed-lifted-polyps,3,dyed-lifted-polyps,1002,True,False
6,dyed-resection-margins,4,dyed-resection-margins,989,True,False
7,esophagitis-a,11,oesophagitis-a,403,False,False
8,esophagitis-b-d,12,oesophagitis-b-d,260,False,False
9,hemorrhoids,5,hemorroids,6,False,False
10,ileum,6,ileum,9,True,False
11,impacted-stool,7,impacted-stool,131,True,False
12,polyps,13,polyp,1028,False,False
13,pylorus,9,normal-pylorus,999,False,False
14,retroflex-rectum,14,retroflex-rectum,391,True,True
15,retroflex-stomach,15,retroflex-stomach,764,True,True
16,ulcerative-colitis-grade-0-1,17,ulcerative-colitis-grade-0-1,35,True,False
17,ulcerative-colitis-grade-1,18,ulcerative-colitis-grade-1,201,True,False
18,ulcerative-colitis-grade-1-2,19,ulcerative-colitis-grade-1-2,11,True,False
19,ulcerative-colitis-grade-2,20,ulcerative-colitis-grade-2,443,True,False
20,ulcerative-colitis-grade-2-3,21,ulcerative-colitis-grade-2-3,28,True,False
21,ulcerative-colitis-grade-3,22,ulcerative-colitis-grade-3,133,True,False
22,z-line,10,normal-z-line,932,False,False
