class_W_delta_norm,class_id,component_count,dataset,gamma,gate_reason,margin,margin_lower_bound,reliability,seed,semantic_scale,task
0.018474424148792957,4,199,ISIC,1.0721824068911338e-05,active,0.005993266916907521,0.004875718634191118,0.22408612304024694,1993,3.1811737082213907,1
0.0009609564758982798,0,6552,ISIC,5.509481353552871e-07,active,0.007996592840783766,0.00782789202728084,0.3615321664201394,1993,3.1811737082213907,1
3.048329512696509e-13,4,199,ISIC,0.0,margin_nonpositive,-0.006866391134583326,-0.0071450542777208356,0.0,1993,1.0789485060354636,2
0.0004378966145937471,0,6552,ISIC,3.0759454050057055e-07,active,0.0038334878549625747,0.0036570141080735524,0.20184353747647438,1993,1.0789485060354636,2
0.004433822850755744,3,799,ISIC,2.5306816981591965e-06,active,0.004880421804462909,0.004308564555693236,0.204732149381079,1993,1.0789485060354636,2
2.8374048079285375e-13,7,23,ISIC,0.0,margin_nonpositive,-0.02904629124333293,-0.03227191349449962,0.0,1993,1.0789485060354636,2
1.9137881661814302e-13,4,199,ISIC,0.0,margin_nonpositive,-0.006866391134583326,-0.007144868075071058,0.0,1993,1.5867092279178805,3
0.0004578168406299586,0,6552,ISIC,3.0761804602034293e-07,active,0.0038334878549625747,0.0036570302250980777,0.20185896179854904,1993,1.5867092279178805,3
0.004321048398958144,3,799,ISIC,2.53200140936581e-06,active,0.004880421804462909,0.004308895456627663,0.20483891401769402,1993,1.5867092279178805,3
1.7677739791410388e-13,7,23,ISIC,0.0,margin_nonpositive,-0.02904629124333293,-0.03226905590804261,0.0,1993,1.5867092279178805,3
1.7697987565449977e-13,5,144,ISIC,0.0,margin_nonpositive,-0.02144440183392628,-0.023293449103935798,0.0,1993,1.5867092279178805,3
1.8098251390340315e-13,6,33,ISIC,0.0,margin_nonpositive,-0.013045365202740931,-0.016099134454362438,0.0,1993,1.5867092279178805,3
1.4064519645185079e-13,4,199,ISIC,0.0,margin_nonpositive,-0.006866378268689672,-0.00714472285649832,0.0,1993,1.3048561334590119,4
1.495622213190917e-13,0,6552,ISIC,0.0,margin_nonpositive,-0.002203683909696007,-0.0024316095410988224,0.0,1993,1.3048561334590119,4
0.003582537373257422,3,799,ISIC,2.531346633461423e-06,active,0.004880467144049834,0.004308771345128801,0.20478594264702912,1993,1.3048561334590119,4
2.009767094655885e-13,7,23,ISIC,0.0,margin_nonpositive,-0.029046314075391686,-0.03227994397947852,0.0,1993,1.3048561334590119,4
1.6169357518010748e-13,5,144,ISIC,0.0,margin_nonpositive,-0.021444413728423706,-0.023296914160361237,0.0,1993,1.3048561334590119,4
1.6290127682129305e-13,6,33,ISIC,0.0,margin_nonpositive,-0.022717442159634317,-0.026853621056313868,0.0,1993,1.3048561334590119,4
1.6190448640106686e-13,2,1168,ISIC,0.0,margin_nonpositive,-0.022865651113310546,-0.02349832225904137,0.0,1993,1.3048561334590119,4
0.00013106002502440614,1,1018,ISIC,1.0177870981577329e-07,active,0.0011209948702472702,0.0002893545044969234,0.010462851369061494,1993,1.3048561334590119,4
6.095272168447442e-13,3,799,ISIC,0.0,scale_zero,0.026435860403003685,0.025747853015672926,0.0,1994,0.0,1
5.564513374436694e-13,7,23,ISIC,0.0,scale_zero,-0.02904628782724121,-0.03233049030671629,0.0,1994,0.0,1
0.011636419537816169,3,799,ISIC,6.59440495050764e-06,active,0.005741142680989322,0.005574579722713963,0.533487360496068,1994,0.7616555485014546,2
2.844458073803369e-13,7,23,ISIC,0.0,margin_nonpositive,-0.02904629124333293,-0.032320953542078035,0.0,1994,0.7616555485014546,2
2.7854141273750216e-13,4,199,ISIC,0.0,margin_nonpositive,-0.006866391134583326,-0.007145206473865943,0.0,1994,0.7616555485014546,2
2.944093000574036e-13,5,144,ISIC,0.0,margin_nonpositive,-0.02144440183392628,-0.023302547624364407,0.0,1994,0.7616555485014546,2
0.004048108534604998,3,799,ISIC,2.5309361690787343e-06,active,0.004880421804462909,0.004308628383964159,0.2047527360784696,1994,1.5704294179827254,3
2.8530709669203e-13,7,23,ISIC,0.0,margin_nonpositive,-0.02904629124333293,-0.032304090169670376,0.0,1994,1.5704294179827254,3
2.770605795924681e-13,4,199,ISIC,0.0,margin_nonpositive,-0.006866391134583326,-0.0071450216090093955,0.0,1994,1.5704294179827254,3
2.574773375863843e-13,5,144,ISIC,0.0,margin_nonpositive,-0.02144440183392628,-0.023299594989403042,0.0,1994,1.5704294179827254,3
0.00014676921143533516,1,1018,ISIC,1.0179967911106464e-07,active,0.0011210061977536476,0.0002894021213344232,0.010465007012617444,1994,1.5704294179827254,3
1.9629695653033738e-13,0,6552,ISIC,0.0,margin_nonpositive,-0.0022036665605907144,-0.00243158772424639,0.0,1994,1.5704294179827254,3
0.003487323866766864,3,799,ISIC,2.531346633461423e-06,active,0.004880467144049834,0.004308771345128801,0.20478594264702912,1994,1.3048561334590085,4
