avg_ba_all,avg_ba_inc,dataset,final_ba,final_macro_f1,final_tail,method,seed
0.7084536274364283,0.6269773421251417,ISIC,0.5549726359343273,0.5555991004063034,0.7115384615384616,P,1993
0.6135886599723754,0.5653404355187228,ISIC,0.5549726359343273,0.5555991004063034,0.7115384615384616,P,1994
0.701420313047931,0.6587631200999441,ISIC,0.5549726359343273,0.5555991004063034,0.7115384615384616,P,1995
0.7479391842760083,0.672048993668824,ISIC,0.5899420215698052,0.5954243643615824,0.7131410256410255,F,1993
0.6082695592877525,0.5651927457170034,ISIC,0.5521427284715991,0.5534786749587792,0.6939102564102564,F,1994
0.7257476011999475,0.6818526574557858,ISIC,0.6061818861924907,0.6127360475934662,0.7532051282051282,F,1995
0.7430380386736432,0.6655141328656705,ISIC,0.5859832263000344,0.5892542368603717,0.733974358974359,F2,1993
0.6054698435307198,0.5628486802631819,ISIC,0.5590337541126247,0.5535401927507191,0.733974358974359,F2,1994
0.7080836213118491,0.6714763599473302,ISIC,0.6039275359563006,0.606021742004446,0.7532051282051282,F2,1995
0.6893638659769028,0.6055893674961809,ISIC,0.5293695076204354,0.518530239851596,0.6490384615384616,G.V,1993
0.6139467050414492,0.5630400511663768,ISIC,0.5293695076204354,0.518530239851596,0.6490384615384616,G.V,1994
0.682246179362265,0.636688599510047,ISIC,0.5293695076204356,0.518530239851596,0.6490384615384616,G.V,1995
0.7507997715787018,0.6758631100724154,ISIC,0.6031505077601313,0.6119566731910092,0.6923076923076923,G.J,1993
0.6082216052672706,0.5679065848008055,ISIC,0.5721868079304453,0.5802779913261766,0.6506410256410257,G.J,1994
0.7339576162316088,0.688632677498001,ISIC,0.5963157401982959,0.6031218269109605,0.6923076923076923,G.J,1995
0.7480027213441184,0.6721337097596377,ISIC,0.6027716194603787,0.6082502383437977,0.7131410256410255,G.J1,1993
0.633305137120255,0.5846846272714511,ISIC,0.5753165663392333,0.5770033660381297,0.6907051282051282,G.J1,1994
0.7260595475484792,0.6826064237583326,ISIC,0.590242899064479,0.5961425968389857,0.6923076923076923,G.J1,1995
0.34062427847223714,0.2150674045557397,ISIC,0.17113309722005376,0.13314526001497182,0.057692307692307696,G.Z,1993
0.27326674072597984,0.1963000987457509,ISIC,0.17113309722005376,0.1331452600149718,0.057692307692307696,G.Z,1994
0.3458689977032368,0.24955956450521669,ISIC,0.17113309722005374,0.13314526001497182,0.057692307692307696,G.Z,1995
0.7537236688714685,0.6797616397961043,ISIC,0.6101087931085281,0.6173693220211399,0.6923076923076923,G.L,1993
0.6092909353522092,0.5693323582473901,ISIC,0.583170072018826,0.5881968874050436,0.6698717948717949,G.L,1994
0.7279801912987225,0.680662777587486,ISIC,0.5836673017280122,0.5911070138263121,0.6506410256410257,G.L,1995
0.7534039382453686,0.6793353322946377,ISIC,0.6031505077601313,0.6119566731910092,0.6923076923076923,G.R,1993
0.6082216052672706,0.5679065848008055,ISIC,0.5721868079304453,0.5802779913261766,0.6506410256410257,G.R,1994
0.7339576162316088,0.688632677498001,ISIC,0.5963157401982959,0.6031218269109605,0.6923076923076923,G.R,1995
0.7552094121975816,0.6817426308975886,ISIC,0.6058678990644791,0.6143037104646125,0.6923076923076923,G.R-no-gate,1993
0.6134299386006041,0.5748510292452499,ISIC,0.5721868079304453,0.5791799439488052,0.6506410256410257,G.R-no-gate,1994
0.7355601803341729,0.6907694296347531,ISIC,0.5963157401982959,0.6031218269109605,0.6923076923076923,G.R-no-gate,1995
0.7534039382453686,0.6793353322946377,ISIC,0.6031505077601313,0.6119566731910092,0.6923076923076923,G.R-identity,1993
0.6082216052672706,0.5679065848008055,ISIC,0.5721868079304453,0.5802779913261766,0.6506410256410257,G.R-identity,1994
0.7339576162316088,0.688632677498001,ISIC,0.5963157401982959,0.6031218269109605,0.6923076923076923,G.R-identity,1995
0.7534039382453686,0.6793353322946377,ISIC,0.6031505077601313,0.6119566731910092,0.6923076923076923,G.R-zero-prior,1993
0.6082216052672706,0.5679065848008055,ISIC,0.5721868079304453,0.5802779913261766,0.6506410256410257,G.R-zero-prior,1994
0.7339576162316088,0.688632677498001,ISIC,0.5963157401982959,0.6031218269109605,0.6923076923076923,G.R-zero-prior,1995
