accuracy,ba,current_ba,current_to_old,dataset,hm,macro_f1,method,old_ba,old_to_current,seed,seen_classes,tail_ba,task,zero_recall
0.9411764705882353,0.9406873614190687,0.9406873614190687,0,ISIC,nan,0.9410459148286863,G.V,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.J,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.J1,nan,0,1993,2,nan,1,0
0.7176470588235294,0.7172949002217295,0.7172949002217295,0,ISIC,nan,0.7172949002217295,G.Z,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.L,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.R,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.R-no-gate,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.R-identity,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.R-zero-prior,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,G.L-permute,nan,0,1993,2,nan,1,0
0.6470588235294118,0.6491130820399114,0.6491130820399114,0,ISIC,nan,0.6466186252771619,G.template-0,nan,0,1993,2,nan,1,0
0.7647058823529411,0.7627494456762749,0.7627494456762749,0,ISIC,nan,0.7630992196209587,G.template-1,nan,0,1993,2,nan,1,0
0.9529411764705882,0.9528824833702882,0.9528824833702882,0,ISIC,nan,0.9528824833702882,P,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,F,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,F2,nan,0,1993,2,nan,1,0
