class_id,dataset,f1,fn,fp,method,n,recall,seed,task,tp,zero_recall
4,ISIC,0.9382716049382716,3,2,G.V,41,0.926829268292683,1993,1,38,False
0,ISIC,0.9438202247191011,2,3,G.V,44,0.9545454545454546,1993,1,42,False
4,ISIC,0.975,2,0,G.J,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.J,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,G.J1,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.J1,44,1.0,1993,1,44,False
4,ISIC,0.7073170731707317,12,12,G.Z,41,0.7073170731707317,1993,1,29,False
0,ISIC,0.7272727272727273,12,12,G.Z,44,0.7272727272727273,1993,1,32,False
4,ISIC,0.975,2,0,G.L,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.L,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,G.R,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.R,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,G.R-no-gate,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.R-no-gate,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,G.R-identity,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.R-identity,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,G.R-zero-prior,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.R-zero-prior,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,G.L-permute,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,G.L-permute,44,1.0,1993,1,44,False
4,ISIC,0.6590909090909091,12,18,G.template-0,41,0.7073170731707317,1993,1,29,False
0,ISIC,0.6341463414634146,18,12,G.template-0,44,0.5909090909090909,1993,1,26,False
4,ISIC,0.7435897435897436,12,8,G.template-1,41,0.7073170731707317,1993,1,29,False
0,ISIC,0.782608695652174,8,12,G.template-1,44,0.8181818181818182,1993,1,36,False
4,ISIC,0.9512195121951219,2,2,P,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9545454545454546,2,2,P,44,0.9545454545454546,1993,1,42,False
4,ISIC,0.975,2,0,F,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,F,44,1.0,1993,1,44,False
4,ISIC,0.975,2,0,F2,41,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,F2,44,1.0,1993,1,44,False
4,ISIC,0.691358024691358,13,12,G.V,41,0.6829268292682927,1993,2,28,False
0,ISIC,0.782608695652174,8,12,G.V,44,0.8181818181818182,1993,2,36,False
3,ISIC,0.6024096385542169,15,18,G.V,40,0.625,1993,2,25,False
7,ISIC,0.5714285714285714,12,6,G.V,24,0.5,1993,2,12,False
4,ISIC,0.7654320987654321,10,9,G.J,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8571428571428571,5,8,G.J,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.6888888888888889,9,19,G.J,40,0.775,1993,2,31,False
7,ISIC,0.6666666666666666,12,0,G.J,24,0.5,1993,2,12,False
4,ISIC,0.7560975609756098,10,10,G.J1,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,G.J1,44,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,G.J1,40,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,G.J1,24,0.5416666666666666,1993,2,13,False
4,ISIC,0.0392156862745098,40,9,G.Z,41,0.024390243902439025,1993,2,1,False
0,ISIC,0.45544554455445546,21,34,G.Z,44,0.5227272727272727,1993,2,23,False
3,ISIC,0.37606837606837606,18,55,G.Z,40,0.55,1993,2,22,False
7,ISIC,0.0,24,5,G.Z,24,0.0,1993,2,0,True
4,ISIC,0.7654320987654321,10,9,G.L,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8571428571428571,5,8,G.L,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.6888888888888889,9,19,G.L,40,0.775,1993,2,31,False
7,ISIC,0.6666666666666666,12,0,G.L,24,0.5,1993,2,12,False
4,ISIC,0.7654320987654321,10,9,G.R,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8571428571428571,5,8,G.R,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.6966292134831461,9,18,G.R,40,0.775,1993,2,31,False
7,ISIC,0.7027027027027027,11,0,G.R,24,0.5416666666666666,1993,2,13,False
4,ISIC,0.7654320987654321,10,9,G.R-no-gate,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8571428571428571,5,8,G.R-no-gate,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.6966292134831461,9,18,G.R-no-gate,40,0.775,1993,2,31,False
7,ISIC,0.7027027027027027,11,0,G.R-no-gate,24,0.5416666666666666,1993,2,13,False
4,ISIC,0.7654320987654321,10,9,G.R-identity,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8571428571428571,5,8,G.R-identity,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.6966292134831461,9,18,G.R-identity,40,0.775,1993,2,31,False
7,ISIC,0.7027027027027027,11,0,G.R-identity,24,0.5416666666666666,1993,2,13,False
4,ISIC,0.7654320987654321,10,9,G.R-zero-prior,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8571428571428571,5,8,G.R-zero-prior,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.6966292134831461,9,18,G.R-zero-prior,40,0.775,1993,2,31,False
7,ISIC,0.7027027027027027,11,0,G.R-zero-prior,24,0.5416666666666666,1993,2,13,False
4,ISIC,0.7654320987654321,10,9,G.L-permute,41,0.7560975609756098,1993,2,31,False
0,ISIC,0.8666666666666667,5,7,G.L-permute,44,0.8863636363636364,1993,2,39,False
3,ISIC,0.7032967032967034,8,19,G.L-permute,40,0.8,1993,2,32,False
7,ISIC,0.6666666666666666,12,0,G.L-permute,24,0.5,1993,2,12,False
4,ISIC,0.0,41,3,G.template-0,41,0.0,1993,2,0,True
0,ISIC,0.34782608695652173,28,32,G.template-0,44,0.36363636363636365,1993,2,16,False
3,ISIC,0.39705882352941174,13,69,G.template-0,40,0.675,1993,2,27,False
7,ISIC,0.0,24,2,G.template-0,24,0.0,1993,2,0,True
4,ISIC,0.08163265306122448,39,6,G.template-1,41,0.04878048780487805,1993,2,2,False
0,ISIC,0.559322033898305,11,41,G.template-1,44,0.75,1993,2,33,False
3,ISIC,0.3917525773195876,21,38,G.template-1,40,0.475,1993,2,19,False
7,ISIC,0.0,24,10,G.template-1,24,0.0,1993,2,0,True
4,ISIC,0.7529411764705882,9,12,P,41,0.7804878048780488,1993,2,32,False
0,ISIC,0.8247422680412371,4,13,P,44,0.9090909090909091,1993,2,40,False
3,ISIC,0.5526315789473685,19,15,P,40,0.525,1993,2,21,False
7,ISIC,0.6,12,4,P,24,0.5,1993,2,12,False
4,ISIC,0.7710843373493976,9,10,F,41,0.7804878048780488,1993,2,32,False
0,ISIC,0.8631578947368421,3,10,F,44,0.9318181818181818,1993,2,41,False
3,ISIC,0.6419753086419753,14,15,F,40,0.65,1993,2,26,False
7,ISIC,0.717948717948718,10,1,F,24,0.5833333333333334,1993,2,14,False
4,ISIC,0.7710843373493976,9,10,F2,41,0.7804878048780488,1993,2,32,False
0,ISIC,0.8421052631578947,4,11,F2,44,0.9090909090909091,1993,2,40,False
3,ISIC,0.6172839506172839,15,16,F2,40,0.625,1993,2,25,False
7,ISIC,0.717948717948718,10,1,F2,24,0.5833333333333334,1993,2,14,False
4,ISIC,0.5555555555555556,16,24,G.V,41,0.6097560975609756,1993,3,25,False
0,ISIC,0.7789473684210526,7,14,G.V,44,0.8409090909090909,1993,3,37,False
3,ISIC,0.5641025641025641,18,16,G.V,40,0.55,1993,3,22,False
7,ISIC,0.47368421052631576,15,5,G.V,24,0.375,1993,3,9,False
5,ISIC,0.5294117647058824,19,13,G.V,37,0.4864864864864865,1993,3,18,False
6,ISIC,0.8727272727272727,2,5,G.V,26,0.9230769230769231,1993,3,24,False
4,ISIC,0.5274725274725275,17,26,G.J,41,0.5853658536585366,1993,3,24,False
0,ISIC,0.8817204301075269,3,8,G.J,44,0.9318181818181818,1993,3,41,False
3,ISIC,0.675,13,13,G.J,40,0.675,1993,3,27,False
7,ISIC,0.6842105263157895,11,1,G.J,24,0.5416666666666666,1993,3,13,False
5,ISIC,0.5277777777777778,18,16,G.J,37,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,G.J,26,0.9230769230769231,1993,3,24,False
4,ISIC,0.5591397849462365,15,26,G.J1,41,0.6341463414634146,1993,3,26,False
0,ISIC,0.8333333333333334,4,12,G.J1,44,0.9090909090909091,1993,3,40,False
3,ISIC,0.631578947368421,16,12,G.J1,40,0.6,1993,3,24,False
7,ISIC,0.6666666666666666,11,2,G.J1,24,0.5416666666666666,1993,3,13,False
5,ISIC,0.5428571428571428,18,14,G.J1,37,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,G.J1,26,0.9230769230769231,1993,3,24,False
4,ISIC,0.0,41,7,G.Z,41,0.0,1993,3,0,True
0,ISIC,0.4,23,40,G.Z,44,0.4772727272727273,1993,3,21,False
3,ISIC,0.30434782608695654,19,77,G.Z,40,0.525,1993,3,21,False
7,ISIC,0.0,24,4,G.Z,24,0.0,1993,3,0,True
5,ISIC,0.09090909090909091,34,26,G.Z,37,0.08108108108108109,1993,3,3,False
6,ISIC,0.15384615384615385,23,10,G.Z,26,0.11538461538461539,1993,3,3,False
4,ISIC,0.5376344086021505,16,27,G.L,41,0.6097560975609756,1993,3,25,False
0,ISIC,0.8842105263157894,2,9,G.L,44,0.9545454545454546,1993,3,42,False
3,ISIC,0.7073170731707317,11,13,G.L,40,0.725,1993,3,29,False
7,ISIC,0.6666666666666666,12,0,G.L,24,0.5,1993,3,12,False
5,ISIC,0.5294117647058824,19,13,G.L,37,0.4864864864864865,1993,3,18,False
6,ISIC,0.96,2,0,G.L,26,0.9230769230769231,1993,3,24,False
4,ISIC,0.5274725274725275,17,26,G.R,41,0.5853658536585366,1993,3,24,False
0,ISIC,0.8817204301075269,3,8,G.R,44,0.9318181818181818,1993,3,41,False
3,ISIC,0.675,13,13,G.R,40,0.675,1993,3,27,False
7,ISIC,0.6842105263157895,11,1,G.R,24,0.5416666666666666,1993,3,13,False
5,ISIC,0.5277777777777778,18,16,G.R,37,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,G.R,26,0.9230769230769231,1993,3,24,False
4,ISIC,0.5333333333333333,17,25,G.R-no-gate,41,0.5853658536585366,1993,3,24,False
0,ISIC,0.8817204301075269,3,8,G.R-no-gate,44,0.9318181818181818,1993,3,41,False
3,ISIC,0.675,13,13,G.R-no-gate,40,0.675,1993,3,27,False
7,ISIC,0.6842105263157895,11,1,G.R-no-gate,24,0.5416666666666666,1993,3,13,False
5,ISIC,0.547945205479452,17,16,G.R-no-gate,37,0.5405405405405406,1993,3,20,False
