ba_difference_pp,candidate,comparator,current_ba_difference_pp,dataset,hm_difference_pp,macro_f1_difference_pp,old_ba_difference_pp,seed,tail_ba_difference_pp,task
0.0,B.J,G.J,0.0,ISIC,nan,0.0,nan,1993,nan,1
0.3182742054693266,B.J,G.J,-0.4166666666666652,ISIC,0.1315972109598551,0.11167779065346384,1.0532150776053184,1993,4.1666666666666625,2
-2.27789468643127,B.J,G.J,-5.197505197505192,ISIC,-2.9675123811694792,-2.2724246154259164,-0.8180894308943087,1993,-1.7628205128205177,3
2.2985102197058627,B.J,G.J,3.7896592244418326,ISIC,3.051697117728469,2.300883477267035,1.8014605514605542,1993,4.166666666666674,4
0.0,B.J,G.J,0.0,ISIC,nan,0.0,nan,1994,0.0,1
0.38617886178862193,B.J,G.J,2.4390243902438993,ISIC,0.8499992837759485,0.6609811452585213,-1.6666666666666607,1994,4.1666666666666625,2
-1.3273889188523347,B.J,G.J,-1.1363636363636354,ISIC,-1.3453141407394842,-1.3335060941349508,-1.4229015600966899,1994,4.1666666666666625,3
0.5413063286870301,B.J,G.J,1.5886287625417994,ISIC,0.7711719371256254,0.7365819442067822,0.19219885073543663,1994,0.3205128205128194,4
-2.500000000000002,B.J,G.J,-2.500000000000002,ISIC,nan,-2.5802877776561983,nan,1995,nan,1
-2.779720279720277,B.J,G.J,-3.0594405594405627,ISIC,-2.7631384466319853,-2.5709390447739566,-2.500000000000002,1995,-3.8461538461538436,2
-3.0592004677370443,B.J,G.J,-2.570863546473312,ISIC,-2.8963179012401974,-3.1044110034145422,-3.3033689283689216,1995,-3.8461538461538436,3
2.9974742060505655,B.J,G.J,10.688405797101458,ISIC,6.405849564566868,3.498458183819364,0.4338303423669254,1995,0.3205128205128194,4
0.0,B.J,F,0.0,ISIC,nan,0.0,nan,1993,nan,1
-0.38617886178862193,B.J,F,1.6666666666666607,ISIC,0.21715018161259092,-0.2892158896737551,-2.4390243902439046,1993,-4.166666666666674,2
-1.750055317128485,B.J,F,-5.197505197505192,ISIC,-2.5493519295821443,-1.6536065062425775,-0.026330376940131295,1993,-3.8461538461538436,3
3.6193588387384734,B.J,F,5.963572267920092,ISIC,4.8312963896740335,3.954114360209715,2.837954362344608,1993,2.083333333333348,4
-0.8333333333333415,B.J,F,-0.8333333333333415,ISIC,nan,-0.8502511728318174,nan,1994,-4.166666666666669,1
-4.044440782245662,B.J,F,-3.9222148978246607,ISIC,-4.055708180145756,-4.143260852330178,-4.1666666666666625,1994,-8.333333333333332,2
1.9129745044379254,B.J,F,5.190417690417693,ISIC,2.159542572000861,2.0708692268065265,0.2742529114480363,1994,-4.166666666666669,3
2.5457142745716532,B.J,F,5.685618729096986,ISIC,3.2780923275520957,3.416513580946523,1.4990794563965348,1994,-4.006410256410254,4
-1.2500000000000067,B.J,F,-1.2500000000000067,ISIC,nan,-1.2916858846239276,nan,1995,nan,1
-2.4912587412587395,B.J,F,-4.982517482517479,ISIC,-2.246803312786727,-1.9383468466017462,0.0,1995,-7.692307692307687,2
-0.3270413941145578,B.J,F,-2.4390243902439046,ISIC,-1.3579415184223342,0.07611929520443539,0.7289501039501101,1995,-7.692307692307699,3
2.010859606631088,B.J,F,6.521739130434789,ISIC,3.8830511033476456,2.5370361155687915,0.5072330986965135,1995,-5.769230769230771,4
-5.848115299334811,B.V,G.V,-5.848115299334811,ISIC,nan,-5.883970640296566,nan,1993,nan,1
-4.447062084257203,B.V,G.V,-11.249999999999998,ISIC,-7.391247245789067,-5.062924013190906,2.3558758314855877,1993,0.0,2
-4.24769281476598,B.V,G.V,-4.054054054054057,ISIC,-4.2588580923139325,-5.365290698025693,-4.344512195121952,1993,6.25,3
-1.852970208285687,B.V,G.V,1.9095182138660405,ISIC,-0.10142881590586295,-2.3927408056738764,-3.107133015669594,1993,4.487179487179482,4
-6.666666666666665,B.V,G.V,-6.666666666666665,ISIC,nan,-7.2727272727272645,nan,1994,-8.333333333333337,1
-8.302158866183252,B.V,G.V,-12.85431773236651,ISIC,-9.351185320029575,-9.03171634543476,-3.7499999999999867,1994,0.0,2
-7.017280584353758,B.V,G.V,-2.2727272727272707,ISIC,-7.27394163944981,-8.474655932178043,-9.389557240167,1994,8.333333333333332,3
-1.852970208285687,B.V,G.V,-0.58528428093646,ISIC,-1.633462285799514,-2.3927408056738764,-2.2755321840687683,1994,4.487179487179482,4
-1.3513513513513598,B.V,G.V,-1.3513513513513598,ISIC,nan,-1.3087855959274863,nan,1995,nan,1
-1.0918304668304568,B.V,G.V,-1.1363636363636354,ISIC,-1.103288072791242,-0.8569756752119684,-1.0472972972972894,1995,0.0,2
-7.701911360447944,B.V,G.V,-5.273566249175998,ISIC,-6.744339379623964,-8.966019052991536,-8.916083916083917,1995,-3.8461538461538547,3
-1.852970208285698,B.V,G.V,11.594202898550721,ISIC,5.78514927229069,-2.392740805673882,-6.335361243897831,1995,4.487179487179482,4
5.764966740576494,B.Z,G.Z,5.764966740576494,ISIC,nan,5.805633082570405,nan,1993,nan,1
11.10079453067258,B.Z,G.Z,0.4166666666666652,ISIC,8.178075865898165,14.175479173869482,21.784922394678496,1993,45.83333333333333,2
14.257201726713916,B.Z,G.Z,21.569646569646572,ISIC,19.276222272534564,17.663523306106423,10.600979305247598,1993,34.294871794871796,3
6.126053576676588,B.Z,G.Z,0.8225616921269108,ISIC,4.768460345448497,8.813267293134883,7.8938842048598135,1993,20.352564102564102,4
15.833333333333332,B.Z,G.Z,15.833333333333332,ISIC,nan,19.571518811729216,nan,1994,66.66666666666666,1
14.80114260602066,B.Z,G.Z,26.26895187870798,ISIC,26.079969801984475,20.580539713451103,3.3333333333333384,1994,41.666666666666664,2
8.423107142619338,B.Z,G.Z,2.2727272727272707,ISIC,10.521422013949222,11.611429595257333,11.498297077565372,1994,33.33333333333333,3
6.126053576676588,B.Z,G.Z,7.94314381270903,ISIC,8.596305483391491,8.813267293134885,5.520356831332437,1994,20.352564102564102,4
