2026/09/15 18:23:20.466, 0, 0, 25.21
2026/09/15 18:23:35.591, 0, 33, 67.44
2026/09/15 18:23:50.675, 3762, 84, 312.15
2026/09/15 18:24:05.742, 3762, 100, 353.17
2026/09/15 18:24:20.806, 3762, 81, 322.50
2026/09/15 18:24:35.852, 3762, 88, 349.37
2026/09/15 18:24:50.923, 3762, 99, 356.40
2026/09/15 18:25:06.007, 3762, 90, 352.94
2026/09/15 18:25:21.070, 3762, 100, 357.37
2026/09/15 18:25:36.112, 3762, 100, 358.62
2026/09/15 18:25:51.160, 3762, 90, 357.98
2026/09/15 18:26:06.204, 3762, 99, 355.25
2026/09/15 18:26:21.229, 3762, 97, 357.39
2026/09/15 18:26:36.298, 3762, 100, 356.71
2026/09/15 18:26:51.322, 3762, 100, 355.20
2026/09/15 18:27:06.347, 3762, 99, 341.40
2026/09/15 18:27:21.370, 3762, 88, 350.66
2026/09/15 18:27:36.396, 3762, 99, 345.18
2026/09/15 18:27:51.421, 3762, 88, 348.77
2026/09/15 18:28:06.477, 3762, 89, 359.68
2026/09/15 18:28:21.546, 3762, 88, 349.76
2026/09/15 18:28:36.571, 3762, 87, 350.65
2026/09/15 18:28:51.596, 3762, 99, 348.10
2026/09/15 18:29:06.619, 3762, 88, 355.42
2026/09/15 18:29:21.644, 3762, 74, 315.16
2026/09/15 18:29:36.670, 3762, 100, 323.89
2026/09/15 18:29:51.695, 3762, 89, 330.02
2026/09/15 18:30:06.721, 3762, 100, 355.32
2026/09/15 18:30:21.749, 3762, 100, 357.01
2026/09/15 18:30:36.775, 3762, 66, 317.15
2026/09/15 18:30:51.800, 3762, 99, 326.26
2026/09/15 18:31:06.826, 3762, 100, 318.40
2026/09/15 18:31:21.851, 3762, 89, 352.85
2026/09/15 18:31:36.877, 3762, 99, 357.04
2026/09/15 18:31:51.902, 3762, 100, 357.29
2026/09/15 18:32:06.929, 3762, 87, 356.09
2026/09/15 18:32:21.954, 3762, 100, 358.48
2026/09/15 18:32:36.980, 3762, 100, 356.68
2026/09/15 18:32:52.005, 3762, 100, 360.08
2026/09/15 18:33:07.030, 3762, 87, 350.24
2026/09/15 18:33:22.075, 3762, 89, 357.57
2026/09/15 18:33:37.099, 3762, 99, 352.99
2026/09/15 18:33:52.162, 3762, 100, 356.39
2026/09/15 18:34:07.250, 3762, 54, 319.72
2026/09/15 18:34:22.296, 3762, 99, 346.87
2026/09/15 18:34:37.386, 3762, 97, 355.32
2026/09/15 18:34:52.454, 3762, 88, 353.02
2026/09/15 18:35:07.519, 3762, 99, 348.45
2026/09/15 18:35:22.607, 3762, 100, 353.60
2026/09/15 18:35:37.666, 3762, 88, 353.65
2026/09/15 18:35:52.712, 3762, 100, 352.66
2026/09/15 18:36:07.775, 3762, 100, 353.50
2026/09/15 18:36:22.820, 3762, 88, 360.50
2026/09/15 18:36:37.914, 3762, 87, 345.60
2026/09/15 18:36:53.007, 3762, 99, 337.64
2026/09/15 18:37:08.094, 3762, 100, 351.00
2026/09/15 18:37:23.182, 3762, 100, 347.48
2026/09/15 18:37:38.246, 1887, 71, 314.34
2026/09/15 18:37:53.292, 3762, 100, 359.55
2026/09/15 18:38:08.382, 3762, 30, 336.63
2026/09/15 18:38:23.474, 3762, 88, 355.23
2026/09/15 18:38:38.542, 3762, 100, 360.77
2026/09/15 18:38:53.588, 3762, 88, 358.10
2026/09/15 18:39:08.678, 3762, 89, 361.03
2026/09/15 18:39:23.762, 3762, 48, 307.55
2026/09/15 18:39:38.858, 3762, 100, 346.95
2026/09/15 18:39:53.918, 3762, 88, 351.59
2026/09/15 18:40:09.006, 3762, 100, 359.01
2026/09/15 18:40:24.074, 3762, 100, 322.52
2026/09/15 18:40:39.124, 3762, 88, 354.08
2026/09/15 18:40:54.191, 3762, 100, 358.63
2026/09/15 18:41:09.236, 3762, 47, 328.86
2026/09/15 18:41:24.318, 3762, 100, 354.35
2026/09/15 18:41:39.364, 3762, 100, 355.94
2026/09/15 18:41:54.463, 3762, 88, 357.47
2026/09/15 18:42:09.555, 3762, 99, 318.19
2026/09/15 18:42:24.647, 3762, 81, 348.94
2026/09/15 18:42:39.715, 3762, 100, 354.81
2026/09/15 18:42:54.807, 3762, 100, 319.90
2026/09/15 18:43:09.899, 3762, 100, 358.89
2026/09/15 18:43:24.995, 3762, 99, 349.35
2026/09/15 18:43:40.086, 3762, 72, 323.32
2026/09/15 18:43:55.171, 3762, 99, 309.05
2026/09/15 18:44:10.216, 3762, 99, 305.42
2026/09/15 18:44:25.283, 3762, 100, 311.96
2026/09/15 18:44:40.347, 3762, 100, 355.36
2026/09/15 18:44:55.418, 3762, 82, 356.07
2026/09/15 18:45:10.468, 3762, 86, 320.13
2026/09/15 18:45:25.559, 3762, 98, 358.90
2026/09/15 18:45:40.650, 3762, 99, 346.49
2026/09/15 18:45:55.742, 3762, 100, 352.64
2026/09/15 18:46:10.831, 3762, 99, 338.55
2026/09/15 18:46:25.914, 1887, 78, 315.60
2026/09/15 18:46:41.010, 1887, 53, 315.34
2026/09/15 18:46:56.098, 1887, 86, 326.07
2026/09/15 18:47:11.186, 1887, 84, 312.01
2026/09/15 18:47:26.254, 1887, 81, 308.81
2026/09/15 18:47:41.347, 1887, 33, 329.55
2026/09/15 18:47:56.396, 1887, 86, 372.24
2026/09/15 18:48:11.444, 1887, 77, 375.47
2026/09/15 18:48:26.535, 1887, 90, 375.16
2026/09/15 18:48:41.580, 1887, 86, 373.95
2026/09/15 18:48:56.628, 1887, 0, 155.63
2026/09/15 18:49:11.718, 1887, 86, 344.97
2026/09/15 18:49:26.802, 1887, 61, 335.09
2026/09/15 18:49:41.874, 1887, 64, 339.20
2026/09/15 18:49:56.920, 1887, 58, 339.97
2026/09/15 18:50:12.007, 1887, 79, 107.40
2026/09/15 18:50:27.086, 1887, 71, 332.56
2026/09/15 18:50:42.178, 1887, 58, 341.06
2026/09/15 18:50:57.242, 1887, 86, 335.52
2026/09/15 18:51:12.292, 1887, 86, 339.99
2026/09/15 18:51:27.339, 1887, 0, 173.46
2026/09/15 18:51:42.384, 1887, 86, 335.71
2026/09/15 18:51:57.431, 1887, 74, 345.65
2026/09/15 18:52:12.514, 1887, 84, 376.70
